name,season,placement,avg_abs_gap,max_gap,weighted_gap,weeks_lowest_judge,total_weeks,mean_delta,controversy_type,is_specified
Nelly,29,3,4.181818181818182,9.0,2.004132231404959,5,11,3.5454545454545454,fan-favored,False
Nev Schulman,29,2,4.590909090909091,9.5,2.322314049586777,0,11,-4.590909090909091,judge-favored,False
Skai Jackson,29,5,4.15,12.5,1.7149999999999999,2,10,-2.05,judge-favored,False
Veron Davis,29,11,3.0,6.0,1.6944444444444446,0,6,0.5,neutral,False
Amanda Kloots,30,4,2.75,7.0,1.335,0,10,-0.95,neutral,False
Brian Austin Green,30,13,6.5,11.5,3.8125,1,4,6.5,fan-favored,False
Christine Chiu,30,14,4.166666666666667,4.5,2.722222222222222,0,3,-1.5,judge-favored,False
Cody Rigsby,30,3,4.5,9.0,1.92,3,10,4.5,fan-favored,False
Iman Shumpert,30,1,4.5,13.0,1.43,1,10,3.8,fan-favored,False
Jimmie Allen,30,7,3.5,7.5,1.875,1,8,-0.625,neutral,False
JoJo Siwa,30,2,3.65,14.0,1.3900000000000001,0,10,-3.35,judge-favored,False
Kenya Moore,30,10,2.0833333333333335,8.5,0.625,1,6,-1.75,judge-favored,False
Matt James,30,12,3.5,6.5,1.875,0,4,3.0,fan-favored,False
Melanie C,30,11,3.5,7.5,2.2600000000000002,0,5,-3.5,judge-favored,False
Melora Hardin,30,6,2.5,5.0,1.074074074074074,0,9,-1.9444444444444444,judge-favored,False
"Mike ""The Miz"" Mizanin",30,9,3.5,8.5,1.9285714285714284,1,7,-0.6428571428571429,neutral,False
Olivia Jade,30,8,4.0,9.0,2.1328125,0,8,-2.625,judge-favored,False
Suni Lee,30,5,2.2777777777777777,4.0,1.3703703703703702,0,9,-0.2777777777777778,neutral,False
Charli D'Amelio,31,1,0.9,5.0,0.28,0,10,-0.2,neutral,False
Cheryl Ladd,31,14,3.1666666666666665,8.0,2.1666666666666665,1,3,2.5,fan-favored,False
Daniel Durant,31,5,3.7777777777777777,8.0,1.7592592592592593,0,9,0.7777777777777778,neutral,False
Gabby Windey,31,2,5.05,13.0,1.8699999999999999,0,10,-4.25,judge-favored,False
Heidi D'Amelio,31,8,2.0,5.0,0.859375,0,8,0.875,neutral,False
Jessie James Decker,31,10,5.916666666666667,10.0,2.7083333333333335,0,6,5.916666666666667,fan-favored,False
Jordin Sparks,31,9,2.7142857142857144,7.0,1.5612244897959184,0,7,1.1428571428571428,fan-favored,False
Joseph Baena,31,11,3.6,8.0,1.6199999999999999,0,5,1.4,fan-favored,False
Sam Champion,31,13,3.25,6.0,1.625,1,4,3.25,fan-favored,False
Selma Blair,31,12,4.9,8.0,3.16,0,5,-4.9,judge-favored,False
Shangela,31,4,3.75,9.0,1.6,1,10,-2.45,judge-favored,False
Trevor Donovan,31,6,2.6666666666666665,4.0,1.4259259259259258,1,9,-0.1111111111111111,neutral,False
Vinny Guadagnino,31,7,6.0,15.0,2.546875,6,8,6.0,fan-favored,False
Wayne Brady,31,3,4.95,14.0,1.8199999999999998,1,10,-4.95,judge-favored,False
Adrian Peterson,32,11,5.375,9.0,3.09375,0,4,3.875,fan-favored,False
Alyson Hannigan,32,5,2.909090909090909,9.5,1.194214876033058,3,11,1.2727272727272727,fan-favored,False
Ariana Madix,32,3,2.409090909090909,5.5,1.1528925619834711,0,11,-1.2272727272727273,judge-favored,False
Barry Williams,32,7,2.625,5.0,1.3984375,1,8,0.5,neutral,False
Charity Lawson,32,4,3.0,8.0,1.1735537190082643,0,11,-1.2727272727272727,judge-favored,False
Harry Jowsey,32,6,3.611111111111111,10.0,1.7345679012345678,6,9,3.611111111111111,fan-favored,False
Jason Mraz,32,2,2.272727272727273,7.5,1.0,0,11,-0.7272727272727273,neutral,False
Lele Pons,32,8,2.857142857142857,5.0,1.846938775510204,0,7,-0.2857142857142857,neutral,False
Mauricio Umansky,32,9,3.3333333333333335,9.0,1.75,1,6,1.1666666666666667,fan-favored,False
Mira Sorvino,32,10,2.7,4.0,1.52,0,5,-1.3,judge-favored,False
Tyson Beckford,32,12,4.166666666666667,7.0,2.111111111111111,2,3,1.1666666666666667,fan-favored,False
Xochitl Gomez,32,1,2.8181818181818183,6.5,1.4256198347107438,0,11,-2.272727272727273,judge-favored,False
Brooks Nader,33,9,4.25,7.0,2.125,0,4,2.75,fan-favored,False
Chandler Kinney,33,3,4.111111111111111,10.0,1.5802469135802468,0,9,-3.3333333333333335,judge-favored,False
Danny Amendola,33,5,3.0555555555555554,7.0,1.41358024691358,1,9,0.5,neutral,False
Dwight Howard ,33,6,4.642857142857143,11.0,1.8979591836734695,3,7,0.35714285714285715,neutral,False
Eric Roberts,33,10,2.8333333333333335,4.5,1.6666666666666667,2,3,2.1666666666666665,fan-favored,False
Ilona Maher,33,2,2.6666666666666665,6.0,1.345679012345679,1,9,-0.7777777777777778,neutral,False
Jenn Tran,33,7,4.25,8.5,2.069444444444444,0,6,1.9166666666666667,fan-favored,False
Joey Graziadei,33,1,3.0,8.0,1.41358024691358,0,9,-2.6666666666666665,judge-favored,False
Phaedra Parks,33,8,2.0,4.5,1.24,1,5,0.6,neutral,False
Reginald VelJohnson,33,10,4.833333333333333,7.0,2.5555555555555554,2,3,4.833333333333333,fan-favored,False
Stephen Nedoroscik,33,4,1.4444444444444444,4.0,0.9320987654320988,2,9,0.3333333333333333,neutral,False
Alix Earle,34,2,3.3181818181818183,6.5,1.4173553719008263,0,11,-1.9545454545454546,judge-favored,False
Andy Richter,34,7,4.0,8.0,2.135802469135802,8,9,4.0,fan-favored,False
Danielle Fishel,34,8,4.4375,8.5,2.03125,0,8,3.1875,fan-favored,False
Dylan Efron,34,4,2.590909090909091,4.5,1.2355371900826446,1,11,0.5,neutral,False
Elaine Hendrix,34,5,3.0,7.0,1.2727272727272727,1,11,1.7272727272727273,fan-favored,False
Hilaria Baldwin,34,11,3.375,5.0,2.4375,0,4,-1.125,judge-favored,False
Jen Affleck,34,9,3.357142857142857,7.0,1.4387755102040816,0,7,-2.642857142857143,judge-favored,False
Jordan Chiles,34,3,2.8636363636363638,7.5,1.0991735537190084,0,11,-0.6818181818181818,neutral,False
Lauren Jauregui,34,12,4.166666666666667,7.5,2.3333333333333335,1,3,-3.8333333333333335,judge-favored,False
Robert Irwin,34,1,2.590909090909091,6.5,1.037190082644628,0,11,-0.5,neutral,False
Scott Hoying,34,10,3.3333333333333335,10.5,1.4166666666666667,0,6,2.6666666666666665,fan-favored,False
Whitney Leavitt,34,6,4.35,9.0,2.4400000000000004,0,10,-4.25,judge-favored,False
